PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface,CO2value_LPBF,CO2value_PartSet,CO2value_PL,CO2value_HT,CO2value_Sep,CO2value_waste,CO2value
NaN,NaN,NaN,0,8,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,3,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,4,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,5,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,6,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,7,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,8,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,3,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,7,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,8,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,3,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,4,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,5,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,6,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,7,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,8,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,3,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
